trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-39,-328.01866407270325,"{0: 38, 1: 6, 2: 12, 3: 4, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-24,-235.80961413004795,"{0: 34, 1: 4, 2: 5, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-399.7535364813157,"{0: 91, 1: 3, 2: 15, 3: 4, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,10,-44.29516936705816,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,-63,-334.31611402399705,"{0: 56, 1: 9, 2: 17, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,7,-120.589828067227,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,-56,-253.47836900877454,"{0: 51, 1: 8, 2: 17, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-24,-181.0822221508498,"{0: 30, 1: 5, 2: 2, 3: 5, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-15,-219.92348074767216,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,4,-129.92056100410872,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,-57,-380.126299690781,"{0: 55, 1: 8, 2: 15, 3: 4, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-60,-265.49281612179715,"{0: 52, 1: 10, 2: 11, 3: 5, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,9,-21.81929960144393,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,-92,-794.9817664926018,"{0: 61, 1: 15, 2: 22, 3: 8, 4: 11}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-89,-585.4261935110072,"{0: 70, 1: 15, 2: 13, 3: 8, 4: 8}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-475.84365788259464,"{0: 82, 1: 9, 2: 18, 3: 3, 4: 8}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-55,-512.7775049117198,"{0: 42, 1: 12, 2: 15, 3: 3, 4: 8}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-431.3269883747949,"{0: 82, 1: 7, 2: 22, 3: 3, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-52,-211.97802880037264,"{0: 51, 1: 6, 2: 11, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-86,-358.20495163513687,"{0: 65, 1: 18, 2: 15, 3: 5, 4: 3}",0
